timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1632455874688,440,HTTP Request,200,OK,advancedThreadGroup 1-18,text,true,,2659,260,3,3,https://reqres.in/api/users?page=2,168,0,63
1632455874688,168,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-18,,true,,714,130,3,3,http://reqres.in/api/users?page=2,168,0,63
1632455874857,271,HTTP Request-1,200,OK,advancedThreadGroup 1-18,text,true,,1945,130,3,3,https://reqres.in/api/users?page=2,271,0,204
1632455874190,939,HTTP Request,200,OK,advancedThreadGroup 1-19,text,true,,2661,260,3,3,https://reqres.in/api/users?page=2,135,0,57
1632455874190,135,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-19,,true,,712,130,3,3,http://reqres.in/api/users?page=2,135,0,57
1632455874326,803,HTTP Request-1,200,OK,advancedThreadGroup 1-19,text,true,,1949,130,3,3,https://reqres.in/api/users?page=2,803,0,734
1632455873779,1351,HTTP Request,200,OK,advancedThreadGroup 1-20,text,true,,2661,260,3,3,https://reqres.in/api/users?page=2,259,0,174
1632455873779,261,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-20,,true,,710,130,3,3,http://reqres.in/api/users?page=2,259,0,174
1632455874042,1088,HTTP Request-1,200,OK,advancedThreadGroup 1-20,text,true,,1951,130,3,3,https://reqres.in/api/users?page=2,1088,0,1018
1632455875133,439,HTTP Request,200,OK,advancedThreadGroup 1-19,text,true,,2665,260,4,4,https://reqres.in/api/users?page=2,121,0,55
1632455875133,121,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-19,,true,,720,130,4,4,http://reqres.in/api/users?page=2,121,0,55
1632455875255,317,HTTP Request-1,200,OK,advancedThreadGroup 1-19,text,true,,1945,130,4,4,https://reqres.in/api/users?page=2,317,0,205
1632455875134,453,HTTP Request,200,OK,advancedThreadGroup 1-18,text,true,,2661,260,4,4,https://reqres.in/api/users?page=2,148,0,56
1632455875134,148,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-18,,true,,712,130,4,4,http://reqres.in/api/users?page=2,148,0,56
1632455875282,305,HTTP Request-1,200,OK,advancedThreadGroup 1-18,text,true,,1949,130,4,4,https://reqres.in/api/users?page=2,305,0,200
1632455875187,424,HTTP Request,200,OK,advancedThreadGroup 1-17,text,true,,2661,260,4,4,https://reqres.in/api/users?page=2,183,0,50
1632455875187,183,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-17,,true,,714,130,4,4,http://reqres.in/api/users?page=2,183,0,50
1632455875370,241,HTTP Request-1,200,OK,advancedThreadGroup 1-17,text,true,,1947,130,4,4,https://reqres.in/api/users?page=2,241,0,170
1632455875612,366,HTTP Request,200,OK,advancedThreadGroup 1-17,text,true,,2659,260,5,5,https://reqres.in/api/users?page=2,118,0,54
1632455875612,118,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-17,,true,,716,130,5,5,http://reqres.in/api/users?page=2,118,0,54
1632455875730,248,HTTP Request-1,200,OK,advancedThreadGroup 1-17,text,true,,1943,130,5,5,https://reqres.in/api/users?page=2,248,0,177
1632455875573,418,HTTP Request,200,OK,advancedThreadGroup 1-19,text,true,,2673,260,5,5,https://reqres.in/api/users?page=2,155,0,57
1632455875573,155,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-19,,true,,720,130,5,5,http://reqres.in/api/users?page=2,155,0,57
1632455875729,262,HTTP Request-1,200,OK,advancedThreadGroup 1-19,text,true,,1953,130,5,5,https://reqres.in/api/users?page=2,262,0,189
1632455875588,416,HTTP Request,200,OK,advancedThreadGroup 1-18,text,true,,2657,260,5,5,https://reqres.in/api/users?page=2,152,0,56
1632455875588,152,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-18,,true,,714,130,5,5,http://reqres.in/api/users?page=2,152,0,56
1632455875741,263,HTTP Request-1,200,OK,advancedThreadGroup 1-18,text,true,,1943,130,5,5,https://reqres.in/api/users?page=2,263,0,181
1632455875133,916,HTTP Request,200,OK,advancedThreadGroup 1-20,text,true,,2669,260,5,5,https://reqres.in/api/users?page=2,126,0,55
1632455875133,126,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-20,,true,,714,130,5,5,http://reqres.in/api/users?page=2,126,0,55
1632455875259,790,HTTP Request-1,200,OK,advancedThreadGroup 1-20,text,true,,1955,130,5,5,https://reqres.in/api/users?page=2,790,0,718
1632455875687,390,HTTP Request,200,OK,advancedThreadGroup 1-16,text,true,,2661,260,5,5,https://reqres.in/api/users?page=2,116,0,49
1632455875687,116,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-16,,true,,712,130,5,5,http://reqres.in/api/users?page=2,116,0,49
1632455875803,274,HTTP Request-1,200,OK,advancedThreadGroup 1-16,text,true,,1949,130,5,5,https://reqres.in/api/users?page=2,274,0,208
1632455876006,344,HTTP Request,200,OK,advancedThreadGroup 1-18,text,true,,2663,260,6,6,https://reqres.in/api/users?page=2,117,0,48
1632455876006,117,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-18,,true,,714,130,6,6,http://reqres.in/api/users?page=2,117,0,48
1632455876124,226,HTTP Request-1,200,OK,advancedThreadGroup 1-18,text,true,,1949,130,6,6,https://reqres.in/api/users?page=2,225,0,163
1632455875979,384,HTTP Request,200,OK,advancedThreadGroup 1-17,text,true,,2659,260,6,6,https://reqres.in/api/users?page=2,138,0,51
1632455875979,138,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-17,,true,,712,130,6,6,http://reqres.in/api/users?page=2,138,0,51
1632455876117,246,HTTP Request-1,200,OK,advancedThreadGroup 1-17,text,true,,1947,130,6,6,https://reqres.in/api/users?page=2,246,0,170
1632455875992,372,HTTP Request,200,OK,advancedThreadGroup 1-19,text,true,,2657,260,6,6,https://reqres.in/api/users?page=2,120,0,53
1632455875992,120,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-19,,true,,710,130,6,6,http://reqres.in/api/users?page=2,120,0,53
1632455876112,252,HTTP Request-1,200,OK,advancedThreadGroup 1-19,text,true,,1947,130,6,6,https://reqres.in/api/users?page=2,252,0,178
1632455876050,391,HTTP Request,200,OK,advancedThreadGroup 1-20,text,true,,2667,260,6,6,https://reqres.in/api/users?page=2,131,0,57
1632455876050,131,HTTP Request-0,301,Moved Permanently,advancedThreadGroup 1-20,,true,,718,130,6,6,http://reqres.in/api/users?page=2,131,0,57
1632455876181,260,HTTP Request-1,200,OK,advancedThreadGroup 1-20,text,true,,1949,130,6,6,https://reqres.in/api/users?page=2,260,0,171
1632455876187,388,HTTP Request,200,OK,advancedThreadGroup 1-15,text,true,,2669,260,6,6,https://reqres.in/api/users?page=2,132,0,55
